,unit_id,brain_area,location,n_bursts,burst_rate,total_spikes_in_bursts,mean_burst_size,total_spikes,burst_fraction,rest_duration,bin
17251,409,Somatosensory,SSp-tr5,1,0.004742483164184754,3,3.0,2037,0.0014727540500736377,210.86000000000058,effect_70-75
17252,411,Somatosensory,SSp-tr5,2,0.009484966328369508,7,3.5,2612,0.002679938744257274,210.86000000000058,effect_70-75
17253,412,Somatosensory,SSp-tr5,0,0.0,0,0.0,2236,0.0,210.86000000000058,effect_70-75
17254,414,Somatosensory,SSp-tr5,0,0.0,0,0.0,2931,0.0,210.86000000000058,effect_70-75
17255,417,Somatosensory,SSp-tr5,0,0.0,0,0.0,3,0.0,210.86000000000058,effect_70-75
17256,420,Somatosensory,SSp-tr5,0,0.0,0,0.0,2341,0.0,210.86000000000058,effect_70-75
17257,422,Somatosensory,SSp-tr5,0,0.0,0,0.0,185,0.0,210.86000000000058,effect_70-75
17258,424,Somatosensory,SSp-tr5,1,0.004742483164184754,3,3.0,238,0.012605042016806723,210.86000000000058,effect_70-75
17259,426,Somatosensory,SSp-tr5,0,0.0,0,0.0,175,0.0,210.86000000000058,effect_70-75
17260,427,Somatosensory,SSp-tr5,0,0.0,0,0.0,313,0.0,210.86000000000058,effect_70-75
17261,430,Somatosensory,SSp-tr5,1,0.004742483164184754,3,3.0,196,0.015306122448979591,210.86000000000058,effect_70-75
17262,432,Somatosensory,SSp-tr5,1,0.004742483164184754,4,4.0,847,0.004722550177095631,210.86000000000058,effect_70-75
17263,434,Somatosensory,SSp-tr5,3,0.014227449492554263,9,3.0,637,0.0141287284144427,210.86000000000058,effect_70-75
17264,439,Somatosensory,SSp-tr5,0,0.0,0,0.0,23,0.0,210.86000000000058,effect_70-75
17265,442,Somatosensory,SSp-tr4,0,0.0,0,0.0,5,0.0,210.86000000000058,effect_70-75
17266,447,Somatosensory,SSp-tr2/3,0,0.0,0,0.0,1,0.0,210.86000000000058,effect_70-75
17267,448,Somatosensory,SSp-tr2/3,0,0.0,0,0.0,1152,0.0,210.86000000000058,effect_70-75
17268,453,Somatosensory,SSp-tr2/3,0,0.0,0,0.0,345,0.0,210.86000000000058,effect_70-75
